                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65928,                 1.0557,                 2.3668,                 1.3303,                0.00333,                      1,                0.95679,                0.66553,                0.00333,                      1,                0.92603,                0.57137,                0.69397,                 2.0955,                 2.6153,                 1.3982,                0.00034,                0.00034,                0.00034
                      2,                0.48019,                0.43564,                 1.4135,                 1.1615,                      1,                0.90732,                 0.9945,                0.80345,                      1,                0.90732,                 0.9945,                0.73788,                0.55743,                 1.6536,                 2.1995,                 1.3174,              0.0006307,              0.0006307,              0.0006307
                      3,                0.51725,                0.43474,                 1.2508,                 1.1731,                0.98517,                      1,                  0.995,                0.85143,                0.98517,                      1,                  0.995,                 0.9163,                0.60047,                0.78688,                 1.6435,                 1.3386,             0.00085012,             0.00085012,             0.00085012
                      4,                0.50654,                0.43016,                 1.1095,                 1.1556,                0.99659,                      1,                  0.995,                0.85997,                0.99659,                      1,                  0.995,                0.89614,                0.60549,                0.79023,                 1.2613,                 1.3012,             0.00099826,             0.00099826,             0.00099826
                      5,                0.45359,                0.40846,                0.97376,                 1.0954,                0.99871,                      1,                  0.995,                0.83456,                0.99871,                      1,                  0.995,                0.94131,                0.59248,                0.44018,                0.79714,                 1.2266,              0.0010751,              0.0010751,              0.0010751
                      6,                0.44747,                0.39002,                0.92361,                 1.0768,                0.99861,                      1,                  0.995,                0.87204,                0.99861,                      1,                  0.995,                0.91938,                0.55027,                0.58237,                0.62171,                 1.1081,                0.00101,                0.00101,                0.00101
                      7,                0.42149,                0.35793,                0.85113,                 1.0554,                0.99854,                      1,                  0.995,                0.91957,                0.99854,                      1,                  0.995,                 0.9521,                0.44907,                0.41864,                0.52046,                 1.0405,               0.000812,               0.000812,               0.000812
                      8,                0.38435,                0.33865,                0.78611,                 1.0131,                0.99867,                      1,                  0.995,                 0.9137,                0.99867,                      1,                  0.995,                0.96509,                0.43914,                0.32379,                0.45954,                 1.0906,               0.000614,               0.000614,               0.000614
                      9,                0.38918,                0.32547,                0.75294,                  1.047,                0.99859,                      1,                  0.995,                0.91754,                0.99859,                      1,                  0.995,                0.98566,                0.43513,                0.28103,                0.46608,                0.99557,               0.000416,               0.000416,               0.000416
                     10,                0.34543,                0.31322,                0.70283,                0.96916,                0.99866,                      1,                  0.995,                0.95003,                0.99866,                      1,                  0.995,                0.98128,                0.35758,                 0.2764,                0.40991,                0.94027,               0.000218,               0.000218,               0.000218
